value,is_slotted,id,sku,slug,color,category,image_url,product_type,variation_id,product_condition,count_for_product_condition,goat_url
Mamba Focus TB 'University Red',False,562356,AT1214 600,mamba-focus-tb-university-red-at1214-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/160/958/original/562356_00.png.png,sneakers,8d69a363-af6e-4387-a96a-400b7d8a4f2d,new_no_defects,9,https://www.goat.com/sneakers/mamba-focus-tb-university-red-at1214-600
Mamba Focus 'Metallic Gold',False,557046,AJ5899 004,mamba-focus-metallic-gold-aj5899-004,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/499/618/original/557046_00.png.png,sneakers,384b8a24-bc17-4e29-be8c-1c11b7430e12,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-metallic-gold-aj5899-004
Mamba Focus TB 'Black',False,562353,AT1214 001,mamba-focus-tb-black-at1214-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/155/732/original/562353_00.png.png,sneakers,69f9b142-93e4-47af-ac03-dfdcf1eabdd5,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-tb-black-at1214-001
Mamba Focus 'White Gum',False,503587,AJ5899 100,mamba-focus-white-gum-aj5899-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/967/960/original/503587_00.png.png,sneakers,d5ef349b-77b9-4cae-93fe-b3ceceb5e6f9,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-white-gum-aj5899-100
Mamba Focus 'Black',False,503577,AJ5899 002,mamba-focus-black-aj5899-002,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/160/550/original/503577_00.png.png,sneakers,40593f51-3723-44c3-b3bc-770c38f31baf,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-black-aj5899-002
Mamba Focus TB 'Gorge Green',False,562364,AT1214 300,mamba-focus-tb-gorge-green-at1214-300,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/337/059/original/562364_00.png.png,sneakers,34461358-d99a-4f3f-8469-993db7793f75,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-tb-gorge-green-at1214-300
Mamba Focus 'Big Stage',False,511472,AO4434 004,mamba-focus-big-stage-ao4434-004,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/021/012/752/original/AO4434_004.png.png,sneakers,77b935c8-2c8c-46b5-b4b6-54057ed72bc8,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-big-stage-ao4434-004
Mamba Focus TB 'White',False,562355,AT1214 100,mamba-focus-tb-white-at1214-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/051/144/727/original/562355_00.png.png,sneakers,1f5a49a1-8ca8-42bc-b18e-7eb6697e0d05,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-tb-white-at1214-100
Mamba Focus TB 'Game Royal',False,562387,AT1214 400,mamba-focus-tb-game-royal-at1214-400,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/155/765/original/562387_00.png.png,sneakers,6cc30932-1cd4-4094-8028-a13f63b14dcc,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-tb-game-royal-at1214-400
Mamba Focus 'Black Optimum Yellow',False,522116,AJ5899 001,mamba-focus-black-optimum-yellow-aj5899-001,yellow,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/065/878/542/original/522116_00.png.png,sneakers,5c76b883-e956-4762-a0cf-3c76276be5af,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-black-optimum-yellow-aj5899-001
Mamba Focus EP 'Black',False,508575,AO4434 001,mamba-focus-ep-black-ao4434-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/020/661/201/original/AO4434_001.png.png,sneakers,48832700-58bc-469d-9849-2c2ac90692c2,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-ep-black-ao4434-001
Mamba Focus 'Coastal Blue Red',False,597283,AJ5899 400,mamba-focus-coastal-blue-red-aj5899-400,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/032/657/009/original/AJ5899_400.png.png,sneakers,091c5783-bd28-4ace-8d2f-f1aaa3516e85,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-coastal-blue-red-aj5899-400
Mamba Focus 'University Red',False,536524,AJ5899 600,mamba-focus-university-red-aj5899-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/155/239/original/536524_00.png.png,sneakers,a55255ef-6116-4d95-ac51-1491350515cd,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-university-red-aj5899-600
Mamba Focus 'Lakers',False,557038,AJ5899 005,mamba-focus-lakers-aj5899-005,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/155/595/original/557038_00.png.png,sneakers,e5e2a2ec-8dc6-4fe9-8ab5-49dbd353429f,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-lakers-aj5899-005
Mamba Focus TB 'Midnight Navy',False,562358,AT1214 401,mamba-focus-tb-midnight-navy-at1214-401,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/027/840/387/original/AT1214_401.png.png,sneakers,45231c4f-985a-412c-bdbe-56b3a1f1f7f4,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-tb-midnight-navy-at1214-401
Mamba Focus EP 'University Red',False,560502,AO4434 600,mamba-focus-ep-university-red-ao4434-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/027/690/051/original/AO4434_600.png.png,sneakers,81899fd1-67c1-4eb6-aea8-8a5fd5f9fed9,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-ep-university-red-ao4434-600
Mamba Focus EP 'Coastal Blue',False,565431,AO4434 400,mamba-focus-ep-coastal-blue-ao4434-400,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/028/320/273/original/AO4434_400.png.png,sneakers,b75d249a-95c2-46b6-be7b-97b2f0feebce,new_no_defects,0,https://www.goat.com/sneakers/mamba-focus-ep-coastal-blue-ao4434-400
